,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2018-11-26,49.76012014529198,50.78433962264151,51.46,49.76,9702231.382042523,ATVI,1.0,20181126
2018-11-27,50.378635703918725,50.945103857566764,51.3,49.8,8942846.639913779,ATVI,1.0,20181127
2018-11-28,50.94540059347181,51.099916839916844,51.69,49.98,22808361.86726467,ATVI,1.0,20181128
2018-11-29,51.09995841995842,52.5,52.91,50.54,33396962.373370145,ATVI,1.0,20181129
2018-11-30,52.5,51.69797919762259,52.89,49.26,16366617.450192392,ATVI,1.0,20181130
2018-12-03,51.69848439821694,45.67315352697096,51.7,45.67315352697096,31599679.639313042,ATVI,1.0,20181203
2018-12-04,46.6994398340249,46.67003121748179,48.41,45.67,24338254.620781,ATVI,1.0,20181204
2018-12-05,46.72502601456816,46.58012486992716,46.799895941727364,46.58012486992716,2611966.7013527583,ATVI,1.0,20181205
2018-12-06,46.799947970863684,48.20074844074844,48.49,45.5,18893123.025801476,ATVI,1.0,20181206
2018-12-07,48.20037422037422,47.19,48.7699,47.01,49493715.237367064,ATVI,1.0,20181207
2018-12-10,47.19,48.756965428937264,48.756965428937264,46.67,11576917.522639975,ATVI,1.0,20181210
2018-12-11,47.96003072983355,48.9834,48.99,47.72,291515170.94001716,ATVI,1.0,20181211
2018-12-12,48.98605,48.45756168359942,50.22,48.32,11813763.29403298,ATVI,1.0,20181212
2018-12-13,48.4578084179971,48.26279835390946,49.26,47.72,7934080.772354519,ATVI,1.0,20181213
2018-12-14,48.26139917695473,47.9795344725987,48.46,46.97,8036984.9055107925,ATVI,1.0,20181214
2018-12-17,47.979767236299345,47.19494252873563,48.42,46.64,38206808.450881995,ATVI,1.0,20181217
2018-12-18,47.221083743842364,47.23708955223881,48.0,46.217126865671645,9106641.291816777,ATVI,1.0,20181218
2018-12-19,47.03276119402985,46.2014364640884,48.12,45.85,9449053.355735136,ATVI,1.0,20181219
2018-12-20,46.201197053407,47.10079777365492,47.7301,45.9301,10019015.167719021,ATVI,1.0,20181220
2018-12-21,47.10077922077922,45.15830396475771,47.96,44.96,20241610.381371934,ATVI,1.0,20181221
2018-12-24,45.158100220264316,43.62322336156932,46.34,43.51,6908142.075414261,ATVI,1.0,20181224
2018-12-25,43.623227819884086,43.62964333481944,43.62964333481944,43.623227819884086,15854.123941150247,ATVI,1.0,20181225
2018-12-26,43.6296477931342,46.09691256830601,46.68,43.6296477931342,12359965.749093112,ATVI,1.0,20181226
2018-12-27,46.08632513661202,47.41416923076923,47.41416923076923,45.2087,7660033.3857839415,ATVI,1.0,20181227
2018-12-28,47.41464615384616,46.98941274238227,47.9354,46.1,6270353.063976136,ATVI,1.0,20181228
2018-12-31,46.98947091412742,46.12707165109035,47.47,45.83,7936940.577562327,ATVI,1.0,20181231
2019-01-01,46.126900311526484,45.88034267912773,46.126900311526484,45.88034267912773,144000.0,ATVI,1.0,20190101
2019-01-02,45.880171339563866,46.11585611510791,47.54,45.13,9506346.283453237,ATVI,1.0,20190102
2019-01-03,46.115223021582736,45.87106719367589,46.79,45.0,8689740.489274032,ATVI,1.0,20190103
2019-01-04,45.87227272727272,47.53,47.55,45.13,10187768.345685989,ATVI,1.0,20190104
2019-01-07,47.53,48.8227374301676,49.0799,46.58,11594500.32944521,ATVI,1.0,20190107
2019-01-08,48.823016759776536,50.89921568627451,51.105,48.68,12673190.81684741,ATVI,1.0,20190108
2019-01-09,50.90176470588235,50.69008547008547,51.69,49.9101,7885780.0130718965,ATVI,1.0,20190109
2019-01-10,50.49111111111112,47.99991718426501,51.5,47.26,7221148.374396134,ATVI,1.0,20190110
2019-01-11,47.80062111801242,46.50002973535534,48.44,44.47,36331536.820172206,ATVI,1.0,20190111
2019-01-14,46.50001189414213,47.45667701863354,47.68,45.8104,10272512.745045185,ATVI,1.0,20190114
2019-01-15,47.45695652173913,46.90321931589537,47.8853,46.6,8732038.289650949,ATVI,1.0,20190115
2019-01-16,46.89849094567404,47.0,47.375,45.86,9608374.242104504,ATVI,1.0,20190116
2019-01-17,47.0,47.97109375,47.97109375,46.3901,8289785.660260903,ATVI,1.0,20190117
2019-01-18,47.971875,48.65477475607224,49.32,47.36,11171155.569417328,ATVI,1.0,20190118
2019-01-21,48.82222129956404,48.55014531866306,48.9,48.550037367656216,173149.01390907203,ATVI,1.0,20190121
2019-01-22,48.89994602449657,47.058677042801556,48.9,46.6957,8486808.301040253,ATVI,1.0,20190122
2019-01-23,47.05871595330739,46.00126455906822,47.44,45.55,9046245.784428677,ATVI,1.0,20190123
2019-01-24,46.00063227953411,47.39434782608696,47.44,45.77,6362661.530492658,ATVI,1.0,20190124
2019-01-25,47.39500749625188,47.754625811917535,48.39,47.09,8042077.266198445,ATVI,1.0,20190125
2019-01-28,47.72613386049139,46.12209764918625,47.8,45.7,10032083.194726156,ATVI,1.0,20190128
2019-01-29,46.18094032549729,45.9974279835391,46.67,45.23,8032437.245194562,ATVI,1.0,20190129
2019-01-30,45.99794238683128,46.49183561643836,46.74,45.5,9295539.561897514,ATVI,1.0,20190130
2019-01-31,46.49178082191781,47.398441558441554,47.89,45.98,11439990.883027934,ATVI,1.0,20190131
2019-02-01,47.39847866419295,46.43831654676259,47.49,45.51,17652191.786302906,ATVI,1.0,20190201
2019-02-04,46.43841726618705,46.87391304347826,47.03,45.78,11192998.048159732,ATVI,1.0,20190204
2019-02-05,46.874043478260866,46.84188524590164,50.91,45.9,8875526.495961037,ATVI,1.0,20190205
2019-02-06,46.8427868852459,43.12149068322981,46.85,42.53,34682274.92225842,ATVI,1.0,20190206
2019-02-07,43.12111801242236,43.92814756671899,44.33,42.78,18754729.30154938,ATVI,1.0,20190207
2019-02-08,43.92822605965463,43.64002670623145,43.94,42.88,22432467.64003419,ATVI,1.0,20190208
2019-02-11,43.84952522255193,40.739002079002084,44.01,39.85,45760116.81210633,ATVI,1.0,20190211
2019-02-12,40.56991683991684,42.70049896049896,43.72,39.6,34670310.65800416,ATVI,1.0,20190212
2019-02-13,42.81008316008316,44.5695020746888,45.33,42.38,52472040.79372589,ATVI,1.0,20190213
2019-02-14,44.569751037344396,45.00120082815735,46.59,43.7901,22938611.992302604,ATVI,1.0,20190214
2019-02-15,45.000600414078676,44.791993341656266,46.37,44.14,17530583.789438926,ATVI,1.0,20190215
2019-02-18,44.79202663337495,44.83993341656263,44.83993341656263,44.79202663337495,138595.50561797753,ATVI,1.0,20190218
2019-02-19,44.83996670828132,44.60424722662441,44.95,43.5,21305264.739647605,ATVI,1.0,20190219
2019-02-20,44.60445324881141,43.00913402061855,45.56,42.48,21869820.152057774,ATVI,1.0,20190220
2019-02-21,43.009567010309276,41.94,43.2361,41.67,16788550.374310493,ATVI,1.0,20190221
2019-02-22,41.94,41.699733410605624,42.3,41.25,13471215.228782289,ATVI,1.0,20190222
2019-02-25,41.69973630831643,41.88661870503597,42.4,40.99,12827729.485611511,ATVI,1.0,20190225
2019-02-26,41.88669064748201,41.96387096774194,42.68,41.7,10508175.369227195,ATVI,1.0,20190226
2019-02-27,41.96399719495091,41.74,42.36,41.51,8794113.740795385,ATVI,1.0,20190227
2019-02-28,41.74,42.44261261261261,42.44261261261261,41.09,15813535.044005545,ATVI,1.0,20190228
2019-03-01,42.442927927927926,43.059763872491146,43.18,42.18,9710582.934150206,ATVI,1.0,20190301
2019-03-04,43.05981109799292,41.957801418439715,43.38,41.31,14149353.628337815,ATVI,1.0,20190304
2019-03-05,41.962765957446805,41.81908088235294,42.39,41.05,7694524.114048811,ATVI,1.0,20190305
2019-03-06,41.819117647058825,42.41016326530612,42.86,41.55,15419653.724639855,ATVI,1.0,20190306
2019-03-07,42.41008163265306,41.45,42.89,41.18,11305228.098718558,ATVI,1.0,20190307
2019-03-08,41.42753488372093,41.939827586206896,42.27,40.8,12153129.377706494,ATVI,1.0,20190308
2019-03-11,41.940919540229885,43.0398773006135,43.15,41.940919540229885,19499398.79870954,ATVI,1.0,20190311
2019-03-12,43.03957055214724,42.55909090909091,43.28,42.5,6553069.0476854425,ATVI,1.0,20190312
2019-03-13,42.57575757575758,43.9622,43.9644,42.42,7912116.166363636,ATVI,1.0,20190313
2019-03-14,43.9469,43.93333333333334,44.16,43.23,8555894.313749999,ATVI,1.0,20190314
2019-03-15,43.8996875,45.0722641509434,45.13,43.7,22289581.7317217,ATVI,1.0,20190315
2019-03-18,45.07056603773585,45.2,45.25,44.12,20126344.24031778,ATVI,1.0,20190318
2019-03-19,45.195263157894736,46.42,47.297,44.97,16369444.895748986,ATVI,1.0,20190319
2019-03-20,46.42,46.18,47.09,46.0,14819997.748778995,ATVI,1.0,20190320
2019-03-21,46.03142857142857,48.527027027027025,48.83,45.9,14128896.188331187,ATVI,1.0,20190321
2019-03-22,48.52486486486487,46.446363636363635,48.58,46.15,11746666.942260442,ATVI,1.0,20190322
2019-03-25,46.46909090909091,47.401917613636364,47.59,46.4,7209553.737215909,ATVI,1.0,20190325
2019-03-26,47.402471590909094,46.0133431085044,47.88,45.794134897360706,9950667.507652126,ATVI,1.0,20190326
2019-03-27,45.90304985337243,45.497267683772534,46.3,45.24,8274122.041476687,ATVI,1.0,20190327
2019-03-28,45.49735090152566,45.92838983050847,45.92838983050847,44.8702,9017254.724441102,ATVI,1.0,20190328
2019-03-29,45.92881355932204,46.279250925662204,46.37,45.01,7288213.212745415,ATVI,1.0,20190329
2019-04-01,46.25974651096554,47.782000000000004,47.82,45.4,9446004.68555967,ATVI,1.0,20190401
2019-04-02,47.77883333333333,47.72213352685051,47.78,46.2,9751681.64804064,ATVI,1.0,20190402
2019-04-03,47.72319303338171,47.74,48.6,47.4,10066901.851959363,ATVI,1.0,20190403
2019-04-04,47.66277777777778,47.3544,47.91,46.58,7110631.180000002,ATVI,1.0,20190404
2019-04-05,47.3518,46.65924528301887,47.56,46.51,6223177.94264151,ATVI,1.0,20190405
2019-04-08,46.658584905660376,47.55520766773163,47.68,46.36,5902715.669690759,ATVI,1.0,20190408
2019-04-09,47.55498402555911,46.984042553191486,47.95,46.83,5180712.803412413,ATVI,1.0,20190409
2019-04-10,46.98419452887538,47.9,47.98,46.98419452887538,3886245.2224371387,ATVI,1.0,20190410
